epoch,map
1,0.35611
2,0.3682
3,0.35972
4,0.36287
5,0.3621
6,0.36495
7,0.35979
8,0.35711
9,0.36728
10,0.38607
11,0.36363
12,0.37556
13,0.36989
14,0.3504
15,0.3874
16,0.37533
17,0.37292
18,0.33071
19,0.33
20,0.35491
21,0.3559
22,0.37029
23,0.30698
24,0.33776
25,0.35079
26,0.31523
27,0.2695
28,0.27348
29,0.29021
30,0.32615
31,0.32256
32,0.33959
33,0.3364
34,0.35399
35,0.30967
36,0.33887
37,0.31859
38,0.23361
39,0.34235
40,0.31775
41,0.33251
42,0.33408
43,0.31085
44,0.36561
45,0.3738
46,0.39984
47,0.3448
48,0.33106
49,0.28531
50,0.24187
51,0.32652
52,0.26824
53,0.36916
54,0.41808
55,0.41096
56,0.40487
57,0.39092
58,0.44262
59,0.40001
60,0.4025
61,0.42166
62,0.39555
63,0.39162
64,0.38672
65,0.37967
66,0.41099
67,0.38329
68,0.39168
69,0.39834
70,0.42393
71,0.3973
72,0.45331
73,0.45166
74,0.43212
75,0.3779
76,0.40723
77,0.42659
78,0.43706
79,0.36668
80,0.47112
81,0.46728
82,0.46733
83,0.46113
84,0.44898
85,0.43876
86,0.42146
87,0.45119
88,0.41678
89,0.41838
90,0.43108
91,0.45773
92,0.45093
93,0.43992
94,0.48963
95,0.45561
96,0.46193
97,0.45034
98,0.48131
99,0.44624
100,0.49497
101,0.47321
102,0.50308
103,0.35458
104,0.4414
105,0.4719
106,0.4466
107,0.45296
108,0.43331
109,0.43932
110,0.45802
111,0.48986
112,0.4516
113,0.46398
114,0.43852
115,0.43155
116,0.41181
117,0.3803
118,0.42541
119,0.46922
120,0.44922
121,0.4098
122,0.42688
123,0.46245
124,0.44418
125,0.44755
126,0.42755
127,0.42862
128,0.41225
129,0.40449
130,0.37694
131,0.42622
132,0.46015
133,0.48039
134,0.45276
135,0.36406
136,0.41995
137,0.42182
138,0.478
139,0.49215
140,0.49433
141,0.45365
142,0.45255
143,0.46743
144,0.49925
145,0.47605
146,0.47739
147,0.45103
148,0.46644
149,0.48586
150,0.47599
151,0.44342
152,0.53116
153,0.48335
154,0.38426
155,0.49252
156,0.47337
157,0.48612
158,0.4925
159,0.47897
160,0.44403
161,0.42251
162,0.39901
163,0.46097
164,0.44065
165,0.46112
166,0.49044
167,0.50052
168,0.50021
169,0.51269
170,0.49994
171,0.52225
172,0.51971
173,0.51624
174,0.50109
175,0.5221
176,0.48388
177,0.54219
178,0.49106
179,0.541
180,0.53136
181,0.51992
182,0.53221
183,0.52351
184,0.49236
185,0.46185
186,0.42507
187,0.41965
188,0.44945
189,0.45043
190,0.41275
191,0.45744
192,0.4672
193,0.45741
194,0.47392
195,0.47849
196,0.48699
197,0.46807
198,0.40057
199,0.46002
200,0.41935
201,0.45475
202,0.4911
203,0.44977
204,0.45023
205,0.43636
206,0.49747
207,0.50308
208,0.49631
209,0.51471
210,0.50894
211,0.53418
212,0.5422
213,0.53007
214,0.49011
215,0.52825
216,0.48629
217,0.53891
218,0.54666
219,0.44837
220,0.45845
221,0.46298
222,0.50767
223,0.4751
224,0.48749
225,0.46723
226,0.43113
227,0.45961
228,0.44699
229,0.46506
230,0.50335
231,0.5196
232,0.50953
233,0.53085
234,0.52695
235,0.54846
236,0.46507
237,0.49604
238,0.48708
239,0.47471
240,0.50018
241,0.48101
242,0.52984
243,0.50937
244,0.53255
245,0.52812
246,0.46735
247,0.46286
248,0.47255
249,0.51002
250,0.47918
251,0.47771
252,0.51656
253,0.49853
254,0.53363
255,0.56126
256,0.53463
257,0.52405
258,0.55227
259,0.51485
260,0.49228
261,0.48654
262,0.48383
263,0.49959
264,0.49681
265,0.48766
266,0.4577
267,0.48056
268,0.4875
269,0.52274
270,0.49704
271,0.52377
272,0.46644
273,0.49772
274,0.45236
275,0.50153
276,0.51954
277,0.48074
278,0.51
279,0.53603
280,0.48142
281,0.49574
282,0.50062
283,0.21154
284,0.33665
285,0.36042
286,0.3819
287,0.44491
288,0.42943
289,0.46594
290,0.46936
291,0.48307
292,0.46739
293,0.47078
294,0.47386
295,0.51758
296,0.51982
297,0.52942
298,0.54225
299,0.50281
300,0.52597
